107,D
108,B
109,D
110,B
111,B
112,A
113,B
114,C
115,B
116,B
117,A
118,B
119,C
120,N
121,A
122,A
123,A
124,B
125,N
126,B
127,N
128,B
129,B
130,B
131,F
132,C
133,C
134,B
135,D
136,B
137,F
138,F
139,C
142,N
143,N
144,N
145,N
147,N
148,A
151,B
152,B
153,A
154,B
155,B
156,F
157,B
158,B
159,C
160,C
161,A
162,B
163,B
164,B
165,B
166,B
167,B
168,B
169,C
170,C
171,A
172,A
173,A
174,D
175,A
176,D
177,F
178,B
179,B
180,N
181,D
182,N
183,B
184,B
185,B
186,F
187,N
188,A
189,B
190,B
191,B
192,N
193,F
194,B
195,A
196,D
197,F
198,N
199,C
200,B
201,N
202,B
203,B
204,B
205,N
206,N
207,N
208,B
209,D
210,A
211,B
212,A
213,B
214,A
215,B
216,N
217,B
218,B
219,C
220,D
221,A
222,C
223,B
224,N
225,B
226,B
227,B
228,N
229,D
230,N
231,B
232,C
233,B
234,B
235,B
236,N
237,B
238,A
239,N
240,N
241,A
242,N
243,N
244,A
245,A
246,B
247,N
248,B
249,N
250,D
251,A
252,N
253,C